id_pedido,id_cliente,direccion_entrega,latitud,longitud,peso_kg,volumen_m3,fecha_pedido
PED-00191,CLI-035,"Paseo Mateo Sierra 473 Apt. 54 , Santo Domingo",-0.250107,-79.195859,47.67,0.265,2025-06-07 00:00:00
PED-00192,CLI-026,"Cuesta Tecla Bejarano 983 Puerta 3 , Manta",-0.95233,-80.704205,41.54,1.022,2025-06-07 00:00:00
PED-00193,CLI-036,"Plaza de Flavia Olivera 59, Cuenca",-2.895167,-79.014044,63.23,1.08,2025-06-12 00:00:00
PED-00194,CLI-006,"Acceso Salomón Ripoll 681 Apt. 96 , Portoviejo",-1.043616,-80.462142,44.04,0.845,2025-06-06 00:00:00
PED-00195,CLI-029,"Cañada Custodio Trujillo 58 Apt. 03 , Riobamba",-1.661495,-78.650631,30.03,0.015,2025-06-13 00:00:00
PED-00196,CLI-020,"Alameda Gala Duarte 64, Esmeraldas",0.956766,-79.652238,52.06,0.044,2025-06-13 00:00:00
PED-00197,CLI-028,"Via de Carina Ribas 18 Apt. 91 , Loja",-3.984396,-79.204928,43.17,0.084,2025-06-04 00:00:00
PED-00198,CLI-025,"Glorieta de Salvador Cañellas 70 Apt. 75 , Esmeraldas",0.949594,-79.655542,45.05,1.372,2025-06-13 00:00:00
PED-00199,CLI-015,"Paseo de Débora Lerma 95 Apt. 93 , Loja",-3.996091,-79.201731,79.93,1.234,2025-06-01 00:00:00
PED-00200,CLI-020,"Cuesta Armando Cervantes 605, Portoviejo",-1.063626,-80.45949,72.79,1.266,2025-06-13 00:00:00
